"IDADE","LABEL","QUATINDADE"
"57","Total","45"
"25","Total","55"
"43","Total","50"
"51","Total","45"
"30","Total","40"
"54","Total","40"
"83","Total","6"
"78","Total","10"
"87","Total","5"
"1","Total","7"
"44","Total","49"
"28","Total","61"
"76","Total","11"
"29","Total","51"
"47","Total","55"
"59","Total","39"
"13","Total","13"
"6","Total","10"
"11","Total","8"
"77","Total","8"
"14","Total","17"
"26","Total","48"
"20","Total","40"
"21","Total","27"
"70","Total","16"
"66","Total","28"
"72","Total","14"
"31","Total","55"
"2","Total","10"
"84","Total","2"
"88","Total","3"
"86","Total","3"
"90","Total","1"
"24","Total","61"
"46","Total","45"
"32","Total","57"
"85","Total","2"
"53","Total","51"
"5","Total","9"
"68","Total","23"
"81","Total","7"
"4","Total","4"
"102","Total","1"
"94","Total","1"
"35","Total","79"
"37","Total","58"
"48","Total","57"
"23","Total","44"
"55","Total","39"
"38","Total","69"
"61","Total","37"
"8","Total","8"
"17","Total","24"
"69","Total","23"
"75","Total","11"
"74","Total","11"
"63","Total","29"
"33","Total","50"
"45","Total","64"
"41","Total","60"
"50","Total","49"
"52","Total","55"
"71","Total","15"
"56","Total","38"
"40","Total","79"
"80","Total","9"
"93","Total","1"
"49","Total","58"
"18","Total","32"
"36","Total","62"
"27","Total","43"
"58","Total","30"
"3","Total","10"
"64","Total","32"
"7","Total","10"
"89","Total","1"
"39","Total","72"
"19","Total","42"
"60","Total","45"
"73","Total","18"
"82","Total","4"
"79","Total","6"
"12","Total","15"
"0","Total","5"
"67","Total","31"
"65","Total","21"
"16","Total","21"
"9","Total","12"
"15","Total","23"
"62","Total","36"
"10","Total","11"
"92","Total","1"
